name,category,image_url
BG,image,https://drive.google.com/uc?export=view&id=1DdVPLL2vsJ9ugVKY5IxNMPoPKFn_4sIJ
BH,image,https://drive.google.com/uc?export=view&id=1DlWDaILTW8CDN9TvPFrMJS1EIHbPDpAv
BI,image,https://drive.google.com/uc?export=view&id=1EY2fzFaK40A6a74IPuakAMfDxMj6qSN-
BJ,image,https://drive.google.com/uc?export=view&id=1FFyPHTd_3iwqyY0kN9t9E6sw1aoC88Au
BK,image,https://drive.google.com/uc?export=view&id=1GFcCwlWsF1jnMeLtxliMwuCUcgydwpsQ
BL,image,https://drive.google.com/uc?export=view&id=1I-dVnzRZiJVGJ-soBIbm6QiQDjl3Ug0R
BM,image,https://drive.google.com/uc?export=view&id=1IioEA4ozekFNVsacik4xWB_Xva99g9ld
BN,image,https://drive.google.com/uc?export=view&id=1Jxb0ca_90CUOCa_njqLAdwiaxnzMtsiy
BO,image,https://drive.google.com/uc?export=view&id=1KJi1WgXA-Gm2InWi3K8ruvjLMfSJwPaY
BP,image,https://drive.google.com/uc?export=view&id=1KMhE-QvKB9zZS02Vs1IEIh6MzO00UuTd
BQ,image,https://drive.google.com/uc?export=view&id=1OEr4IaCq0T9sBXhtIfAavqTOMVi9RQil
BR,image,https://drive.google.com/uc?export=view&id=1PMSje6We35pQMfOO5GhwtlS5A21e3lEy
BS,image,https://drive.google.com/uc?export=view&id=1SH4LNxPAHAG03z1HeQFlKwXZ6NjtjMfU
BT,image,https://drive.google.com/uc?export=view&id=1SwrJIJuwrz_t0bCRX3jMwCToI_F4EWTZ
BU,image,https://drive.google.com/uc?export=view&id=1TCXeHyqdEuuX9yEUsNT07USO5JLRncG7
BV,image,https://drive.google.com/uc?export=view&id=1V1HkUGbBz8EQNkMoCviefFMem0LVos1a
BW,image,https://drive.google.com/uc?export=view&id=1V62R4XTNe-HyZg_IcGpubOMSJM4n4U26
BX,image,https://drive.google.com/uc?export=view&id=1WQF1bdleZOJ_8xY047LA3ykbag61yof_
BY,image,https://drive.google.com/uc?export=view&id=1Wy1JBwKhlnxDduQ2Blzn3Yx-dK6VriXZ
BZ,image,https://drive.google.com/uc?export=view&id=1YOzljzHZewbQHeh_fXGuocfHqhWwxNG6
CA,image,https://drive.google.com/uc?export=view&id=1YraNuFSPJlOGlyPaaNVKV6RgipsrXGci
CB,image,https://drive.google.com/uc?export=view&id=1Z-mnbcO4QANDryKW_hoMrPEPCYtLNJS_
CC,image,https://drive.google.com/uc?export=view&id=1ZJ-Ec3gCsiuWcsPNxv0alK9AT9ZzA-hg
CD,image,https://drive.google.com/uc?export=view&id=1ZQrHF2w5H78sGOMrKDN8W44JUuGUtjcx
CE,image,https://drive.google.com/uc?export=view&id=1aPAJpF0fdiz5JkI-Hygy9O3XU15kKkeO
CF,image,https://drive.google.com/uc?export=view&id=1aXdd6wY95FCLOUJnMdRkHLQhmCpQRaVh
CG,image,https://drive.google.com/uc?export=view&id=1bY3fAWj7RJ4tlkbmqCbhSyigLaodqYdd
CH,image,https://drive.google.com/uc?export=view&id=1c5_35IRkV_eMD3C-v9MAIF1FUvD69KFC
CI,image,https://drive.google.com/uc?export=view&id=1e1VEpedGtaBQ4AMtbF_cGeKOD_KKKet8
CJ,image,https://drive.google.com/uc?export=view&id=1hHgwBxKXmoefQP0eIuJtRbH3YD6CbWqs
CK,image,https://drive.google.com/uc?export=view&id=1iFDYKIG6X050eoUi2WX6-iSqezsPLzNh
CL,image,https://drive.google.com/uc?export=view&id=1lABWkn_5vR9sn1GEmmhVaT8LLF4pgLhb
CM,image,https://drive.google.com/uc?export=view&id=1mcDQMyLQrErkjfoCYm6Jwdiypjh6Rbcz
CN,image,https://drive.google.com/uc?export=view&id=1mvvE4JOEw3CkTCHv6xi1kTaqhYfubbc0
CO,image,https://drive.google.com/uc?export=view&id=1nMEylJG7V8zC6TXvCD4m5lmyK6ySgcr9
CP,image,https://drive.google.com/uc?export=view&id=1oPJZ7MUxz6gp_fMNZ3Elz-XLm1FUPRyZ
CQ,image,https://drive.google.com/uc?export=view&id=1rIJxHjIQxOiudMViVtiJbesGTBJctZWo
CR,image,https://drive.google.com/uc?export=view&id=1rQ3APa1_YTl26kUqViiw3qkJ67Gy8gTz
CS,image,https://drive.google.com/uc?export=view&id=1rSfm7iQ0az_U3zEuROcKhfGDUM4LP44n
CT,image,https://drive.google.com/uc?export=view&id=1u07COKaLMrwOnQVpnr42Bz-U1lndDdva
